iteration,ex_accuracy,simple_acc,moderate_acc,challenging_acc,playbook_entries,playbook_enabled
5,0.6,1.0,0.0,0.0,0,False
10,0.6,0.75,0.0,0.0,0,False
15,0.6,0.75,0.0,0.0,0,False
20,0.55,0.6470588235294118,0.0,0.0,0,False
25,0.48,0.6,0.0,0.0,0,False
30,0.4,0.5714285714285714,0.0,0.0,0,False
35,0.37142857142857144,0.5454545454545454,0.08333333333333333,0.0,0,False
40,0.375,0.5416666666666666,0.14285714285714285,0.0,0,False
45,0.3333333333333333,0.48148148148148145,0.125,0.0,0,False
50,0.34,0.5,0.15,0.0,0,False
55,0.32727272727272727,0.45454545454545453,0.15,0.0,0,False
60,0.35,0.4864864864864865,0.14285714285714285,0.0,0,False
65,0.38461538461538464,0.5365853658536586,0.14285714285714285,0.0,0,False
70,0.38571428571428573,0.5454545454545454,0.13043478260869565,0.0,0,False
75,0.36,0.5106382978723404,0.12,0.0,0,False
80,0.35,0.4897959183673469,0.14285714285714285,0.0,0,False
85,0.32941176470588235,0.46153846153846156,0.13793103448275862,0.0,0,False
89,0.3146067415730337,0.4444444444444444,0.13333333333333333,0.0,0,False
5,0.2,0.3333333333333333,0.0,0.0,3,True
10,0.6,0.75,0.0,0.0,3,True
15,0.6,0.6666666666666666,0.3333333333333333,0.0,5,True
20,0.5,0.5294117647058824,0.3333333333333333,0.0,9,True
25,0.44,0.45,0.4,0.0,12,True
30,0.4,0.42857142857142855,0.375,0.0,15,True
35,0.34285714285714286,0.4090909090909091,0.25,0.0,16,True
40,0.375,0.4166666666666667,0.35714285714285715,0.0,18,True
45,0.3333333333333333,0.37037037037037035,0.3125,0.0,22,True
50,0.32,0.35714285714285715,0.3,0.0,26,True
55,0.3090909090909091,0.3333333333333333,0.3,0.0,28,True
60,0.3333333333333333,0.35135135135135137,0.3333333333333333,0.0,29,True
65,0.35384615384615387,0.3902439024390244,0.3333333333333333,0.0,30,True
70,0.35714285714285715,0.38636363636363635,0.34782608695652173,0.0,34,True
75,0.3333333333333333,0.3617021276595745,0.32,0.0,39,True
80,0.3125,0.3469387755102041,0.2857142857142857,0.0,45,True
85,0.29411764705882354,0.3269230769230769,0.27586206896551724,0.0,49,True
89,0.2808988764044944,0.3148148148148148,0.26666666666666666,0.0,52,True
